Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS01-CuraKatalon,Chrome 71.0.3578.98,"Teste de login, marcar consulta, verificar consulta",2018-12-18 20:22:32,2018-12-18 20:22:58,"26,484s",FAILED
,,,,,,
Test Cases/TC01-login,Chrome 71.0.3578.98,,2018-12-18 20:22:32,2018-12-18 20:22:40,"7,611s",FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-18 20:22:32,2018-12-18 20:22:36,"3,676s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 71.0.3578.98,,2018-12-18 20:22:36,2018-12-18 20:22:39,"2,469s",PASSED
"click(findTestObject(""Object Repository/Hands on teste/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars (1)""))",Chrome 71.0.3578.98,,2018-12-18 20:22:39,2018-12-18 20:22:39,"0,129s",PASSED
"click(findTestObject(""Object Repository/Hands on teste/Page_CURA Healthcare Service/a_Login""))",Chrome 71.0.3578.98,,2018-12-18 20:22:39,2018-12-18 20:22:39,"0,410s",PASSED
"setText(findTestObject(""Object Repository/Hands on teste/Page_CURA Healthcare Service/input_Username_username (1)""), """")",Chrome 71.0.3578.98,,2018-12-18 20:22:39,2018-12-18 20:22:39,"0,137s",PASSED
"rightClick(findTestObject(""Object Repository/Hands on teste/Page_CURA Healthcare Service/input_Demo account_form-contro""))",Chrome 71.0.3578.98,,2018-12-18 20:22:39,2018-12-18 20:22:40,"0,344s",FAILED
,,,,,,
Test Cases/TC02-MarcarConsulta,Chrome 71.0.3578.98,,2018-12-18 20:22:40,2018-12-18 20:22:48,"8,654s",PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-18 20:22:40,2018-12-18 20:22:43,"2,899s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 71.0.3578.98,,2018-12-18 20:22:43,2018-12-18 20:22:45,"2,258s",PASSED
"click(findTestObject(""Object Repository/Consulta/a_Make Appointment""))",Chrome 71.0.3578.98,,2018-12-18 20:22:45,2018-12-18 20:22:46,"0,418s",PASSED
"rightClick(findTestObject(""Object Repository/Consulta/input_Demo account_form-contro""))",Chrome 71.0.3578.98,,2018-12-18 20:22:46,2018-12-18 20:22:46,"0,125s",PASSED
